ItemPlaced,(-0.30, 0.27, -1.91),63900019182,(-2.56, 0.40, -4.12)
PressedRight,(-0.18, 0.87, -2.31),63900019187
GrabRight,(-0.18, 0.87, -2.31),63900019187
ReleasedRight,(-0.15, 1.39, -2.39),63900019188
UngrabbedRight,(-0.15, 1.39, -2.39),63900019188
PressedLeft,(-0.43, 0.99, -2.43),63900019189
GrabLeft,(-0.43, 0.99, -2.43),63900019189
ReleasedLeft,(-0.59, 1.18, -2.43),63900019190
UngrabbedLeft,(-0.59, 1.18, -2.43),63900019190
PressedRight,(-0.14, 1.15, -2.29),63900019190
GrabRight,(-0.14, 1.15, -2.29),63900019190
ReleasedRight,(-1.71, 1.12, -3.92),63900019193
UngrabbedRight,(-1.71, 1.12, -3.92),63900019193
PressedLeft,(-1.62, 1.00, -3.90),63900019194
GrabLeft,(-1.62, 1.00, -3.90),63900019194
ReleasedLeft,(-1.79, 1.06, -4.08),63900019194
UngrabbedLeft,(-1.79, 1.06, -4.08),63900019194
PressedRight,(-1.37, 1.15, -3.71),63900019195
GrabRight,(-1.37, 1.15, -3.71),63900019195
ReleasedRight,(-1.69, 1.15, -3.94),63900019196
UngrabbedRight,(-1.69, 1.15, -3.94),63900019196
PressedRight,(-2.02, 1.10, -4.03),63900019197
ReleasedRight,(-2.14, 1.09, -4.16),63900019198
UngrabbedRight,(-2.14, 1.09, -4.16),63900019198
PressedRight,(-2.01, 1.14, -4.05),63900019200
GrabRight,(-2.01, 1.14, -4.05),63900019200
ReleasedRight,(-2.25, 0.94, -4.22),63900019201
UngrabbedRight,(-2.25, 0.94, -4.22),63900019201
PressedLeft,(-2.20, 0.93, -4.28),63900019203
GrabLeft,(-2.20, 0.93, -4.28),63900019203
ReleasedLeft,(-2.19, 0.94, -4.31),63900019206
UngrabbedLeft,(-2.19, 0.94, -4.31),63900019206
PressedRight,(-2.11, 0.93, -4.23),63900019206
GrabRight,(-2.11, 0.93, -4.23),63900019206
ReleasedRight,(-2.14, 0.71, -4.15),63900019210
UngrabbedRight,(-2.14, 0.71, -4.15),63900019210
PressedLeft,(-2.23, 0.74, -4.27),63900019211
GrabLeft,(-2.23, 0.74, -4.27),63900019211
GoalReached,(-2.56, 0.32, -4.07),63900019216,(-2.56, 0.40, -4.12)
ItemPlaced,(0.80, 0.22, -1.57),63900019216,(0.77, 0.25, -5.86)
ReleasedLeft,(-2.11, 0.77, -4.30),63900019217
